-200	0.3321	3.3817	17.662
-175	0.2471	2.4760	12.298
-150	0.1968	1.9617	9.5952
-125	0.1636	1.6271	7.9181
-100	0.1399	1.3911	6.7608
-75	0.1223	1.2154	5.9085
-50	0.1086	1.0793	5.2521
-25	0.0976	0.9708	4.7297
0	0.0887	0.8822	4.3036
25	0.0813	0.8085	3.9490
50	0.0750	0.7461	3.6490
75	0.0696	0.6928	3.3918
100	0.0649	0.6465	3.1688
125	0.0609	0.6061	2.9736
