173.50	6.0000	3.9858	0.25089	1449.4	2196.1	28.855	9.0604	13.598	1084.0	0.024495	6.3967
175.00	6.0000	3.9515	0.25307	1463.3	2216.5	28.972	9.0877	13.617	1087.8	0.016686	6.4309
176.50	6.0000	3.9179	0.25524	1477.3	2236.9	29.088	9.1147	13.635	1091.5	0.0090325	6.4651
178.00	6.0000	3.8849	0.25741	1491.3	2257.4	29.203	9.1411	13.654	1095.2	0.0015299	6.4992
179.50	6.0000	3.8524	0.25958	1505.3	2277.9	29.318	9.1672	13.672	1098.9	-0.0058259	6.5332
181.00	6.0000	3.8205	0.26174	1519.4	2298.4	29.432	9.1928	13.691	1102.6	-0.013039	6.5672
182.50	6.0000	3.7892	0.26391	1533.5	2319.0	29.545	9.2180	13.709	1106.3	-0.020114	6.6011
184.00	6.0000	3.7584	0.26607	1547.6	2339.6	29.657	9.2428	13.726	1110.0	-0.027054	6.6350
185.50	6.0000	3.7281	0.26824	1561.8	2360.2	29.769	9.2671	13.744	1113.6	-0.033862	6.6688
187.00	6.0000	3.6983	0.27040	1576.0	2380.8	29.880	9.2911	13.761	1117.3	-0.040544	6.7025
188.50	6.0000	3.6690	0.27256	1590.2	2401.4	29.990	9.3146	13.778	1120.9	-0.047101	6.7362
190.00	6.0000	3.6402	0.27471	1604.5	2422.1	30.099	9.3377	13.795	1124.6	-0.053537	6.7699
191.50	6.0000	3.6118	0.27687	1618.8	2442.8	30.207	9.3605	13.811	1128.2	-0.059856	6.8035
193.00	6.0000	3.5839	0.27902	1633.1	2463.6	30.315	9.3828	13.827	1131.8	-0.066061	6.8370
194.50	6.0000	3.5565	0.28118	1647.4	2484.3	30.422	9.4047	13.844	1135.4	-0.072154	6.8705
196.00	6.0000	3.5295	0.28333	1661.8	2505.1	30.529	9.4263	13.859	1139.0	-0.078139	6.9039
197.50	6.0000	3.5029	0.28548	1676.2	2525.9	30.634	9.4475	13.875	1142.6	-0.084019	6.9373
199.00	6.0000	3.4767	0.28763	1690.6	2546.7	30.739	9.4683	13.890	1146.2	-0.089796	6.9706
200.50	6.0000	3.4509	0.28978	1705.1	2567.6	30.844	9.4887	13.905	1149.8	-0.095472	7.0039
202.00	6.0000	3.4255	0.29193	1719.6	2588.4	30.948	9.5087	13.920	1153.3	-0.10105	7.0371
203.50	6.0000	3.4005	0.29407	1734.1	2609.3	31.051	9.5284	13.935	1156.9	-0.10654	7.0702
205.00	6.0000	3.3759	0.29622	1748.6	2630.2	31.153	9.5478	13.949	1160.4	-0.11193	7.1033
206.50	6.0000	3.3516	0.29836	1763.2	2651.2	31.255	9.5667	13.963	1164.0	-0.11723	7.1364
208.00	6.0000	3.3277	0.30050	1777.7	2672.1	31.356	9.5854	13.977	1167.5	-0.12244	7.1693
209.50	6.0000	3.3042	0.30265	1792.3	2693.1	31.456	9.6037	13.991	1171.0	-0.12757	7.2023
211.00	6.0000	3.2810	0.30479	1807.0	2714.1	31.556	9.6216	14.004	1174.5	-0.13261	7.2351
212.50	6.0000	3.2581	0.30693	1821.6	2735.1	31.655	9.6392	14.017	1178.0	-0.13758	7.2680
214.00	6.0000	3.2356	0.30907	1836.3	2756.1	31.754	9.6565	14.030	1181.5	-0.14246	7.3007
215.50	6.0000	3.2133	0.31120	1851.0	2777.2	31.852	9.6735	14.043	1185.0	-0.14726	7.3334
217.00	6.0000	3.1914	0.31334	1865.7	2798.3	31.950	9.6901	14.055	1188.5	-0.15199	7.3661
218.50	6.0000	3.1698	0.31547	1880.4	2819.4	32.046	9.7064	14.068	1192.0	-0.15665	7.3987
220.00	6.0000	3.1485	0.31761	1895.2	2840.5	32.143	9.7225	14.080	1195.4	-0.16123	7.4312
221.50	6.0000	3.1275	0.31974	1910.0	2861.6	32.238	9.7382	14.091	1198.9	-0.16574	7.4637
223.00	6.0000	3.1068	0.32188	1924.8	2882.7	32.334	9.7536	14.103	1202.3	-0.17019	7.4962
224.50	6.0000	3.0863	0.32401	1939.6	2903.9	32.428	9.7687	14.114	1205.8	-0.17456	7.5285
226.00	6.0000	3.0662	0.32614	1954.4	2925.1	32.522	9.7835	14.126	1209.2	-0.17887	7.5609
227.50	6.0000	3.0463	0.32827	1969.3	2946.3	32.616	9.7980	14.137	1212.6	-0.18312	7.5932
229.00	6.0000	3.0266	0.33040	1984.1	2967.5	32.709	9.8123	14.147	1216.0	-0.18730	7.6254
230.50	6.0000	3.0073	0.33253	1999.0	2988.7	32.801	9.8263	14.158	1219.4	-0.19143	7.6575
232.00	6.0000	2.9881	0.33466	2013.9	3010.0	32.893	9.8399	14.168	1222.8	-0.19549	7.6897
233.50	6.0000	2.9693	0.33678	2028.9	3031.2	32.984	9.8534	14.178	1226.2	-0.19949	7.7217
235.00	6.0000	2.9506	0.33891	2043.8	3052.5	33.075	9.8665	14.188	1229.6	-0.20344	7.7537
236.50	6.0000	2.9322	0.34104	2058.8	3073.8	33.165	9.8794	14.198	1233.0	-0.20733	7.7857
238.00	6.0000	2.9141	0.34316	2073.8	3095.1	33.255	9.8920	14.208	1236.4	-0.21117	7.8176
239.50	6.0000	2.8962	0.34529	2088.8	3116.4	33.344	9.9044	14.217	1239.7	-0.21495	7.8494
